genres,genres,,,,,,,,,,,,,,,,,,
Action|Drama|Thriller|War,Action,Drama,Thriller,War,,,,,,,,,,,,,,,
Biography|Drama,Biography,Drama,,,,,,,,,,,,,,,,,
Drama|Mystery|Thriller,Drama,Mystery,Thriller,,,,,,,,,,,,,,,,
Drama|Thriller,Drama,Thriller,,,,,,,,,,,,,,,,,
Drama|Fantasy|Romance,Drama,Fantasy,Romance,,,,,,,,,,,,,,,,
Action,Action,,,,,,,,,,,,,,,,,,
Comedy,Comedy,,,,,,,,,,,,,,,,,,
Action|Adventure|Drama|Sci-Fi,Action,Adventure,Drama,Sci-Fi,,,,,,,,,,,,,,,
Action|Crime|Drama|Thriller,Action,Crime,Drama,Thriller,,,,,,,,,,,,,,,
Action|Comedy|Crime|Thriller,Action,Comedy,Crime,Thriller,,,,,,,,,,,,,,,
Comedy|Fantasy|Horror,Comedy,Fantasy,Horror,,,,,,,,,,,,,,,,
Action|Adventure|Comedy|Western,Action,Adventure,Comedy,Western,,,,,,,,,,,,,,,
Action|Adventure|Thriller,Action,Adventure,Thriller,,,,,,,,,,,,,,,,
Comedy|Family|Fantasy,Comedy,Family,Fantasy,,,,,,,,,,,,,,,,
Action|Adventure|Fantasy,Action,Adventure,Fantasy,,,,,,,,,,,,,,,,
Adventure|Animation|Comedy|Family,Adventure,Animation,Comedy,Family,,,,,,,,,,,,,,,
Action|Horror|Sci-Fi,Action,Horror,Sci-Fi,,,,,,,,,,,,,,,,
Biography|Drama|History|Musical,Biography,Drama,History,Musical,,,,,,,,,,,,,,,
Action|Adventure|Crime|Thriller,Action,Adventure,Crime,Thriller,,,,,,,,,,,,,,,
Adventure|Drama|Horror|Thriller,Adventure,Drama,Horror,Thriller,,,,,,,,,,,,,,,
Animation|Comedy|Family|Fantasy,Animation,Comedy,Family,Fantasy,,,,,,,,,,,,,,,
Action|Comedy|Sci-Fi,Action,Comedy,Sci-Fi,,,,,,,,,,,,,,,,
Action|Crime|Drama|Thriller,Action,Crime,Drama,Thriller,,,,,,,,,,,,,,,
Drama|Thriller,Drama,Thriller,,,,,,,,,,,,,,,,,
Comedy,Comedy,,,,,,,,,,,,,,,,,,
Comedy|Sport,Comedy,Sport,,,,,,,,,,,,,,,,,
Adventure|Animation|Comedy|Family,Adventure,Animation,Comedy,Family,,,,,,,,,,,,,,,
Crime|Drama|Mystery|Thriller,Crime,Drama,Mystery,Thriller,,,,,,,,,,,,,,,
Action|Drama|Sci-Fi|Thriller,Action,Drama,Sci-Fi,Thriller,,,,,,,,,,,,,,,
Action|Drama|Sport|Thriller,Action,Drama,Sport,Thriller,,,,,,,,,,,,,,,
Drama|Musical|Romance|Thriller,Drama,Musical,Romance,Thriller,,,,,,,,,,,,,,,
Biography|Drama|History|War,Biography,Drama,History,War,,,,,,,,,,,,,,,
Action|Sci-Fi,Action,Sci-Fi,,,,,,,,,,,,,,,,,
Drama|History|War,Drama,History,War,,,,,,,,,,,,,,,,
Action|Thriller,Action,Thriller,,,,,,,,,,,,,,,,,
Comedy|Drama|Family|Fantasy,Comedy,Drama,Family,Fantasy,,,,,,,,,,,,,,,
Adventure|Comedy|Crime|Family|Musical,Adventure,Comedy,Crime,Family,Musical,,,,,,,,,,,,,,
Action|Adventure|Comedy|Family|Sci-Fi,Action,Adventure,Comedy,Family,Sci-Fi,,,,,,,,,,,,,,
Drama|Music|Musical|Romance,Drama,Music,Musical,Romance,,,,,,,,,,,,,,,
Drama|Mystery|Romance|War,Drama,Mystery,Romance,War,,,,,,,,,,,,,,,
Crime|Drama|Romance,Crime,Drama,Romance,,,,,,,,,,,,,,,,
Crime|Horror|Mystery|Thriller,Crime,Horror,Mystery,Thriller,,,,,,,,,,,,,,,
Action|Horror|Sci-Fi|Thriller,Action,Horror,Sci-Fi,Thriller,,,,,,,,,,,,,,,
Drama|Romance,Drama,Romance,,,,,,,,,,,,,,,,,
Action|Thriller,Action,Thriller,,,,,,,,,,,,,,,,,
Crime|Drama,Crime,Drama,,,,,,,,,,,,,,,,,
Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,,,,,,,,,,,
Comedy|Romance,Comedy,Romance,,,,,,,,,,,,,,,,,
Action|Adventure|Romance|Sci-Fi,Action,Adventure,Romance,Sci-Fi,,,,,,,,,,,,,,,
Comedy|Crime|Romance,Comedy,Crime,Romance,,,,,,,,,,,,,,,,
Drama|Thriller,Drama,Thriller,,,,,,,,,,,,,,,,,
Action|Crime|Thriller,Action,Crime,Thriller,,,,,,,,,,,,,,,,
Adventure|Animation|Drama|Family|Fantasy|Musical|Mystery|Romance,Adventure,Animation,Drama,Family,Fantasy,Musical,Mystery,,,,,,,,,,,,
Drama|Musical|Romance,Drama,Musical,Romance,,,,,,,,,,,,,,,,
Crime|Mystery|Thriller,Crime,Mystery,Thriller,,,,,,,,,,,,,,,,
Biography|Crime|Drama,Biography,Crime,Drama,,,,,,,,,,,,,,,,
Drama|History|War,Drama,History,War,,,,,,,,,,,,,,,,
Crime|Drama|Thriller,Crime,Drama,Thriller,,,,,,,,,,,,,,,,
Action|Horror|Thriller,Action,Horror,Thriller,,,,,,,,,,,,,,,,
Drama|History|Horror,Drama,History,Horror,,,,,,,,,,,,,,,,
Drama|Romance|Sport,Drama,Romance,Sport,,,,,,,,,,,,,,,,
Biography|Crime|Drama,Biography,Crime,Drama,,,,,,,,,,,,,,,,
Drama|History|Thriller,Drama,History,Thriller,,,,,,,,,,,,,,,,
Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,,,,,,,,,,,
Comedy|Family|Musical|Romance,Comedy,Family,Musical,Romance,,,,,,,,,,,,,,,
Comedy|Romance,Comedy,Romance,,,,,,,,,,,,,,,,,
Action|Adventure|Comedy,Action,Adventure,Comedy,,,,,,,,,,,,,,,,
Drama|War,Drama,War,,,,,,,,,,,,,,,,,
Comedy|Fantasy,Comedy,Fantasy,,,,,,,,,,,,,,,,,
Biography|Comedy|Drama,Biography,Comedy,Drama,,,,,,,,,,,,,,,,
Biography|Crime|Drama,Biography,Crime,Drama,,,,,,,,,,,,,,,,
Action|Thriller,Action,Thriller,,,,,,,,,,,,,,,,,
Action|Comedy|Fantasy,Action,Comedy,Fantasy,,,,,,,,,,,,,,,,
Comedy,Comedy,,,,,,,,,,,,,,,,,,
Animation|Comedy|Family,Animation,Comedy,Family,,,,,,,,,,,,,,,,
Comedy|Family,Comedy,Family,,,,,,,,,,,,,,,,,
Adventure|Drama|Fantasy|Romance,Adventure,Drama,Fantasy,Romance,,,,,,,,,,,,,,,
Adventure|Animation|Comedy|Family|Fantasy,Adventure,Animation,Comedy,Family,Fantasy,,,,,,,,,,,,,,
Romance|Sci-Fi|Thriller,Romance,Sci-Fi,Thriller,,,,,,,,,,,,,,,,
Action|Adventure|Drama|Romance,Action,Adventure,Drama,Romance,,,,,,,,,,,,,,,
Comedy|Drama|Romance|Sport,Comedy,Drama,Romance,Sport,,,,,,,,,,,,,,,
Comedy|Fantasy,Comedy,Fantasy,,,,,,,,,,,,,,,,,
Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,,,,,,,,,,,
Biography|Comedy|Drama|Romance,Biography,Comedy,Drama,Romance,,,,,,,,,,,,,,,
Comedy,Comedy,,,,,,,,,,,,,,,,,,
Comedy|Romance,Comedy,Romance,,,,,,,,,,,,,,,,,
Mystery|Sci-Fi|Thriller,Mystery,Sci-Fi,Thriller,,,,,,,,,,,,,,,,
Biography|Drama,Biography,Drama,,,,,,,,,,,,,,,,,
Comedy|Romance,Comedy,Romance,,,,,,,,,,,,,,,,,
Action|Comedy|Crime,Action,Comedy,Crime,,,,,,,,,,,,,,,,
Drama|Fantasy|Horror,Drama,Fantasy,Horror,,,,,,,,,,,,,,,,
Comedy|Romance,Comedy,Romance,,,,,,,,,,,,,,,,,
Action|Comedy|Crime,Action,Comedy,Crime,,,,,,,,,,,,,,,,
Comedy|Drama,Comedy,Drama,,,,,,,,,,,,,,,,,
Comedy|Family,Comedy,Family,,,,,,,,,,,,,,,,,
Adventure|Comedy|Drama|Fantasy|Musical,Adventure,Comedy,Drama,Fantasy,Musical,,,,,,,,,,,,,,
Crime|Drama|Mystery|Thriller,Crime,Drama,Mystery,Thriller,,,,,,,,,,,,,,,
Action|Crime|Drama|Thriller,Action,Crime,Drama,Thriller,,,,,,,,,,,,,,,
Action|Adventure|Mystery|Sci-Fi,Action,Adventure,Mystery,Sci-Fi,,,,,,,,,,,,,,,
Comedy|Drama|Family,Comedy,Drama,Family,,,,,,,,,,,,,,,,
Drama|Mystery|Sci-Fi|Thriller,Drama,Mystery,Sci-Fi,Thriller,,,,,,,,,,,,,,,
Comedy|Romance,Comedy,Romance,,,,,,,,,,,,,,,,,
Horror|Mystery,Horror,Mystery,,,,,,,,,,,,,,,,,
Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,,,,,,,,,,,
Animation|Comedy|Family|Fantasy,Animation,Comedy,Family,Fantasy,,,,,,,,,,,,,,,
Comedy|Family,Comedy,Family,,,,,,,,,,,,,,,,,
Biography|Drama|Sport,Biography,Drama,Sport,,,,,,,,,,,,,,,,
Action|Drama|Thriller,Action,Drama,Thriller,,,,,,,,,,,,,,,,
Action|Mystery|Thriller,Action,Mystery,Thriller,,,,,,,,,,,,,,,,
Action|Adventure|Family|Fantasy|Sci-Fi|Thriller,Action,Adventure,Family,Fantasy,Sci-Fi,Thriller,,,,,,,,,,,,,
Action|Drama|Thriller,Action,Drama,Thriller,,,,,,,,,,,,,,,,
Action|Adventure|Comedy,Action,Adventure,Comedy,,,,,,,,,,,,,,,,
Crime|Drama,Crime,Drama,,,,,,,,,,,,,,,,,
Adventure|Animation|Comedy|Family,Adventure,Animation,Comedy,Family,,,,,,,,,,,,,,,
Adventure|Comedy|Family|Fantasy|Romance|Sport,Adventure,Comedy,Family,Fantasy,Romance,Sport,,,,,,,,,,,,,
Crime|Drama|Mystery|Thriller,Crime,Drama,Mystery,Thriller,,,,,,,,,,,,,,,
Action|Fantasy|Horror,Action,Fantasy,Horror,,,,,,,,,,,,,,,,
Drama|Thriller,Drama,Thriller,,,,,,,,,,,,,,,,,
Action|Adventure|Sci-Fi|Thriller,Action,Adventure,Sci-Fi,Thriller,,,,,,,,,,,,,,,
Drama|Thriller,Drama,Thriller,,,,,,,,,,,,,,,,,
Action|Drama|Thriller|War,Action,Drama,Thriller,War,,,,,,,,,,,,,,,
Adventure|Animation|Comedy|Family|Fantasy|Romance,Adventure,Animation,Comedy,Family,Fantasy,Romance,,,,,,,,,,,,,
Crime|Thriller,Crime,Thriller,,,,,,,,,,,,,,,,,
Action|Crime|Drama|Thriller,Action,Crime,Drama,Thriller,,,,,,,,,,,,,,,
Action|Drama|War,Action,Drama,War,,,,,,,,,,,,,,,,
Drama|Mystery|Thriller,Drama,Mystery,Thriller,,,,,,,,,,,,,,,,
Adventure|Horror|Mystery,Adventure,Horror,Mystery,,,,,,,,,,,,,,,,
Comedy|Sport,Comedy,Sport,,,,,,,,,,,,,,,,,
Comedy,Comedy,,,,,,,,,,,,,,,,,,
Action|Crime|Drama|Mystery|Thriller,Action,Crime,Drama,Mystery,Thriller,,,,,,,,,,,,,,
Action|Thriller,Action,Thriller,,,,,,,,,,,,,,,,,
Action|Comedy|Crime|Thriller,Action,Comedy,Crime,Thriller,,,,,,,,,,,,,,,
Comedy|Fantasy|Horror,Comedy,Fantasy,Horror,,,,,,,,,,,,,,,,
Crime|Drama,Crime,Drama,,,,,,,,,,,,,,,,,
Action|Thriller,Action,Thriller,,,,,,,,,,,,,,,,,
Action|Horror|Sci-Fi|Thriller,Action,Horror,Sci-Fi,Thriller,,,,,,,,,,,,,,,
Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,,,,,,,,,,,
Crime|Drama|Romance|Thriller,Crime,Drama,Romance,Thriller,,,,,,,,,,,,,,,
Action|Adventure|Thriller,Action,Adventure,Thriller,,,,,,,,,,,,,,,,
Action|Adventure|Family|Fantasy,Action,Adventure,Family,Fantasy,,,,,,,,,,,,,,,
Adventure|Drama|Thriller,Adventure,Drama,Thriller,,,,,,,,,,,,,,,,
Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,,,,,,,,,,,
Action|Crime|Thriller,Action,Crime,Thriller,,,,,,,,,,,,,,,,
Drama|Romance|Sport,Drama,Romance,Sport,,,,,,,,,,,,,,,,
Crime|Drama|Mystery,Crime,Drama,Mystery,,,,,,,,,,,,,,,,
Comedy|Crime|Drama|Thriller,Comedy,Crime,Drama,Thriller,,,,,,,,,,,,,,,
Comedy|Family,Comedy,Family,,,,,,,,,,,,,,,,,
Drama|Fantasy,Drama,Fantasy,,,,,,,,,,,,,,,,,
Crime|Mystery|Thriller,Crime,Mystery,Thriller,,,,,,,,,,,,,,,,
Action|Crime|Thriller,Action,Crime,Thriller,,,,,,,,,,,,,,,,
Crime|Drama|Thriller,Crime,Drama,Thriller,,,,,,,,,,,,,,,,
Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,,,,,,,,,,,
Action|Adventure|Romance|Sci-Fi|Thriller,Action,Adventure,Romance,Sci-Fi,Thriller,,,,,,,,,,,,,,
Action|Crime|Drama|Mystery|Thriller,Action,Crime,Drama,Mystery,Thriller,,,,,,,,,,,,,,
Action|Crime|Drama|Mystery|Thriller,Action,Crime,Drama,Mystery,Thriller,,,,,,,,,,,,,,
Action|Crime|Drama|Mystery|Thriller,Action,Crime,Drama,Mystery,Thriller,,,,,,,,,,,,,,
Action|Adventure|Sci-Fi|Thriller,Action,Adventure,Sci-Fi,Thriller,,,,,,,,,,,,,,,
Drama|Mystery|Thriller,Drama,Mystery,Thriller,,,,,,,,,,,,,,,,
Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,Action,Adventure,Animation,Comedy,Drama,Family,Sci-Fi,,,,,,,,,,,,
Adventure|Comedy|Drama,Adventure,Comedy,Drama,,,,,,,,,,,,,,,,
Action|Biography|Drama|History|War,Action,Biography,Drama,History,War,,,,,,,,,,,,,,
Crime|Drama|Thriller,Crime,Drama,Thriller,,,,,,,,,,,,,,,,
Action|Comedy,Action,Comedy,,,,,,,,,,,,,,,,,
Action|Crime|Drama|Thriller,Action,Crime,Drama,Thriller,,,,,,,,,,,,,,,
Crime|Mystery|Thriller,Crime,Mystery,Thriller,,,,,,,,,,,,,,,,
Action|Adventure|Crime|Thriller,Action,Adventure,Crime,Thriller,,,,,,,,,,,,,,,
Adventure|Biography|Drama|History|War,Adventure,Biography,Drama,History,War,,,,,,,,,,,,,,
Adventure|Comedy|Fantasy,Adventure,Comedy,Fantasy,,,,,,,,,,,,,,,,
Drama|Mystery|Thriller,Drama,Mystery,Thriller,,,,,,,,,,,,,,,,
Crime|Drama|Thriller,Crime,Drama,Thriller,,,,,,,,,,,,,,,,
Adventure|Comedy|Crime|Drama|Family,Adventure,Comedy,Crime,Drama,Family,,,,,,,,,,,,,,
Drama|Romance,Drama,Romance,,,,,,,,,,,,,,,,,
Biography|Drama|Thriller,Biography,Drama,Thriller,,,,,,,,,,,,,,,,
Action|Drama|Sci-Fi,Action,Drama,Sci-Fi,,,,,,,,,,,,,,,,
Action|Biography|Crime|Drama|Thriller,Action,Biography,Crime,Drama,Thriller,,,,,,,,,,,,,,
Crime|Drama|Thriller,Crime,Drama,Thriller,,,,,,,,,,,,,,,,
Action|Sci-Fi|Thriller,Action,Sci-Fi,Thriller,,,,,,,,,,,,,,,,
Drama|Fantasy|Romance,Drama,Fantasy,Romance,,,,,,,,,,,,,,,,
Comedy|Crime|Drama|Thriller,Comedy,Crime,Drama,Thriller,,,,,,,,,,,,,,,
Comedy,Comedy,,,,,,,,,,,,,,,,,,
Comedy|Crime,Comedy,Crime,,,,,,,,,,,,,,,,,
Comedy|Sci-Fi,Comedy,Sci-Fi,,,,,,,,,,,,,,,,,
Action|Fantasy|Thriller,Action,Fantasy,Thriller,,,,,,,,,,,,,,,,
Action|Crime|Drama|Mystery|Thriller,Action,Crime,Drama,Mystery,Thriller,,,,,,,,,,,,,,
Action|Sci-Fi|Thriller,Action,Sci-Fi,Thriller,,,,,,,,,,,,,,,,
Drama|Romance|Sci-Fi,Drama,Romance,Sci-Fi,,,,,,,,,,,,,,,,
Action|Adventure|Comedy|Crime|Music|Mystery,Action,Adventure,Comedy,Crime,Music,Mystery,,,,,,,,,,,,,
Comedy|Drama|Music,Comedy,Drama,Music,,,,,,,,,,,,,,,,
Crime|Drama|Thriller,Crime,Drama,Thriller,,,,,,,,,,,,,,,,
Action|Adventure|Fantasy,Action,Adventure,Fantasy,,,,,,,,,,,,,,,,
Drama|Romance,Drama,Romance,,,,,,,,,,,,,,,,,
Action|Crime|Drama|Sci-Fi|Thriller,Action,Crime,Drama,Sci-Fi,Thriller,,,,,,,,,,,,,,
Crime|Drama|Mystery|Thriller,Crime,Drama,Mystery,Thriller,,,,,,,,,,,,,,,
Crime|Drama|Thriller,Crime,Drama,Thriller,,,,,,,,,,,,,,,,
Horror|Thriller,Horror,Thriller,,,,,,,,,,,,,,,,,
Action|Adventure|Comedy|Drama|War,Action,Adventure,Comedy,Drama,War,,,,,,,,,,,,,,
Crime|Drama|Thriller,Crime,Drama,Thriller,,,,,,,,,,,,,,,,
Adventure|Comedy,Adventure,Comedy,,,,,,,,,,,,,,,,,
Drama|Mystery|Sci-Fi,Drama,Mystery,Sci-Fi,,,,,,,,,,,,,,,,
Comedy|Fantasy|Romance,Comedy,Fantasy,Romance,,,,,,,,,,,,,,,,
Comedy|Fantasy|Romance,Comedy,Fantasy,Romance,,,,,,,,,,,,,,,,
Crime|Drama|Music,Crime,Drama,Music,,,,,,,,,,,,,,,,
Adventure|Crime|Drama|Western,Adventure,Crime,Drama,Western,,,,,,,,,,,,,,,
Action|Thriller,Action,Thriller,,,,,,,,,,,,,,,,,
Crime|Drama|Romance|Thriller,Crime,Drama,Romance,Thriller,,,,,,,,,,,,,,,
Comedy|Drama|Thriller,Comedy,Drama,Thriller,,,,,,,,,,,,,,,,
Drama|Romance|War,Drama,Romance,War,,,,,,,,,,,,,,,,
Action|Comedy|Crime|Music|Romance|Thriller,Action,Comedy,Crime,Music,Romance,Thriller,,,,,,,,,,,,,
Crime|Romance|Thriller,Crime,Romance,Thriller,,,,,,,,,,,,,,,,
Biography|Comedy|Drama,Biography,Comedy,Drama,,,,,,,,,,,,,,,,
Action|Adventure|Drama,Action,Adventure,Drama,,,,,,,,,,,,,,,,
Drama|Mystery|Sci-Fi,Drama,Mystery,Sci-Fi,,,,,,,,,,,,,,,,
Adventure|Animation|Comedy|Family|Fantasy,Adventure,Animation,Comedy,Family,Fantasy,,,,,,,,,,,,,,
Drama|Horror|Romance|Thriller,Drama,Horror,Romance,Thriller,,,,,,,,,,,,,,,
Comedy|Romance,Comedy,Romance,,,,,,,,,,,,,,,,,
Comedy|Romance,Comedy,Romance,,,,,,,,,,,,,,,,,
Drama|Mystery|Thriller,Drama,Mystery,Thriller,,,,,,,,,,,,,,,,
Action|Adventure|Drama|Sci-Fi|Thriller,Action,Adventure,Drama,Sci-Fi,Thriller,,,,,,,,,,,,,,
Action|Drama|Fantasy|Thriller|Western,Action,Drama,Fantasy,Thriller,Western,,,,,,,,,,,,,,
Action|Drama|Mystery|Thriller|War,Action,Drama,Mystery,Thriller,War,,,,,,,,,,,,,,
Comedy|Fantasy|Romance,Comedy,Fantasy,Romance,,,,,,,,,,,,,,,,
Biography|Crime|Drama|Thriller,Biography,Crime,Drama,Thriller,,,,,,,,,,,,,,,
Drama|History|War,Drama,History,War,,,,,,,,,,,,,,,,
Comedy|Family|Fantasy,Comedy,Family,Fantasy,,,,,,,,,,,,,,,,
Action|Crime|Thriller,Action,Crime,Thriller,,,,,,,,,,,,,,,,
Comedy,Comedy,,,,,,,,,,,,,,,,,,
Action|Comedy|Crime|Romance,Action,Comedy,Crime,Romance,,,,,,,,,,,,,,,
Action|Adventure|Family|Fantasy|Sci-Fi,Action,Adventure,Family,Fantasy,Sci-Fi,,,,,,,,,,,,,,
Comedy|Family|Romance,Comedy,Family,Romance,,,,,,,,,,,,,,,,
Crime|Drama|Mystery|Thriller,Crime,Drama,Mystery,Thriller,,,,,,,,,,,,,,,
Crime|Drama|Mystery|Thriller,Crime,Drama,Mystery,Thriller,,,,,,,,,,,,,,,
Adventure|Comedy|Drama,Adventure,Comedy,Drama,,,,,,,,,,,,,,,,
Action|Thriller,Action,Thriller,,,,,,,,,,,,,,,,,
Comedy|Romance,Comedy,Romance,,,,,,,,,,,,,,,,,
Crime|Drama|Mystery|Thriller,Crime,Drama,Mystery,Thriller,,,,,,,,,,,,,,,
Crime|Drama|Thriller,Crime,Drama,Thriller,,,,,,,,,,,,,,,,
Adventure|Comedy|Sci-Fi,Adventure,Comedy,Sci-Fi,,,,,,,,,,,,,,,,
Comedy,Comedy,,,,,,,,,,,,,,,,,,
Adventure|Comedy|Family|Musical,Adventure,Comedy,Family,Musical,,,,,,,,,,,,,,,
Action|Horror,Action,Horror,,,,,,,,,,,,,,,,,
Drama|Sport,Drama,Sport,,,,,,,,,,,,,,,,,
Drama|Thriller,Drama,Thriller,,,,,,,,,,,,,,,,,
Action|Adventure|Horror|Thriller,Action,Adventure,Horror,Thriller,,,,,,,,,,,,,,,
Comedy|Drama|Music|Romance,Comedy,Drama,Music,Romance,,,,,,,,,,,,,,,
Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,,,,,,,,,,,
Adventure|Animation|Comedy|Family|Fantasy,Adventure,Animation,Comedy,Family,Fantasy,,,,,,,,,,,,,,
Horror|Mystery|Thriller,Horror,Mystery,Thriller,,,,,,,,,,,,,,,,
Action|Crime|Drama|Romance|Thriller,Action,Crime,Drama,Romance,Thriller,,,,,,,,,,,,,,
Comedy|Drama|Romance|Sport,Comedy,Drama,Romance,Sport,,,,,,,,,,,,,,,
Comedy|Family,Comedy,Family,,,,,,,,,,,,,,,,,
Comedy|Family|Romance|Sport,Comedy,Family,Romance,Sport,,,,,,,,,,,,,,,
Adventure|Comedy|Sci-Fi,Adventure,Comedy,Sci-Fi,,,,,,,,,,,,,,,,
Comedy|Family|Fantasy|Romance,Comedy,Family,Fantasy,Romance,,,,,,,,,,,,,,,
Action|Horror|Sci-Fi|Thriller,Action,Horror,Sci-Fi,Thriller,,,,,,,,,,,,,,,
Comedy|Romance,Comedy,Romance,,,,,,,,,,,,,,,,,
Adventure|Comedy|Drama,Adventure,Comedy,Drama,,,,,,,,,,,,,,,,
Action|Adventure|Crime|Thriller,Action,Adventure,Crime,Thriller,,,,,,,,,,,,,,,
Drama|Family|Fantasy,Drama,Family,Fantasy,,,,,,,,,,,,,,,,
Crime|Drama|Thriller,Crime,Drama,Thriller,,,,,,,,,,,,,,,,
Action|Crime|Thriller,Action,Crime,Thriller,,,,,,,,,,,,,,,,
Action|Adventure|Comedy,Action,Adventure,Comedy,,,,,,,,,,,,,,,,
Adventure|Animation|Comedy|Family|Fantasy,Adventure,Animation,Comedy,Family,Fantasy,,,,,,,,,,,,,,
Action|Adventure|Sci-Fi,Action,Adventure,Sci-Fi,,,,,,,,,,,,,,,,
Drama|Fantasy|Musical|Romance,Drama,Fantasy,Musical,Romance,,,,,,,,,,,,,,,
Drama|Romance,Drama,Romance,,,,,,,,,,,,,,,,,
Action|Crime|Drama|Thriller,Action,Crime,Drama,Thriller,,,,,,,,,,,,,,,
Action|Adventure|Sci-Fi|Thriller,Action,Adventure,Sci-Fi,Thriller,,,,,,,,,,,,,,,
Action|Comedy|Crime|Drama|Thriller,Action,Comedy,Crime,Drama,Thriller,,,,,,,,,,,,,,
Comedy|Romance|Sci-Fi,Comedy,Romance,Sci-Fi,,,,,,,,,,,,,,,,
Adventure|Comedy|Family|Fantasy|Sci-Fi,Adventure,Comedy,Family,Fantasy,Sci-Fi,,,,,,,,,,,,,,
Crime|Drama|Mystery|Thriller,Crime,Drama,Mystery,Thriller,,,,,,,,,,,,,,,
Comedy|Musical,Comedy,Musical,,,,,,,,,,,,,,,,,
Action|Sci-Fi,Action,Sci-Fi,,,,,,,,,,,,,,,,,
Action|Adventure|Comedy|Fantasy,Action,Adventure,Comedy,Fantasy,,,,,,,,,,,,,,,
Drama|Romance|Western,Drama,Romance,Western,,,,,,,,,,,,,,,,
Biography|Drama|History,Biography,Drama,History,,,,,,,,,,,,,,,,
Mystery|Thriller,Mystery,Thriller,,,,,,,,,,,,,,,,,
Action|Adventure|Horror|Sci-Fi,Action,Adventure,Horror,Sci-Fi,,,,,,,,,,,,,,,
Action|Crime|Drama|Thriller|War,Action,Crime,Drama,Thriller,War,,,,,,,,,,,,,,
Drama|Romance,Drama,Romance,,,,,,,,,,,,,,,,,
Action|Crime|Thriller,Action,Crime,Thriller,,,,,,,,,,,,,,,,
Comedy|Crime|Thriller,Comedy,Crime,Thriller,,,,,,,,,,,,,,,,
Drama|Romance,Drama,Romance,,,,,,,,,,,,,,,,,
Drama|Fantasy|Horror|Mystery,Drama,Fantasy,Horror,Mystery,,,,,,,,,,,,,,,
Action|Thriller,Action,Thriller,,,,,,,,,,,,,,,,,
Action|Adventure|Comedy|Crime,Action,Adventure,Comedy,Crime,,,,,,,,,,,,,,,
Action|Animation|Comedy|Family|Fantasy,Action,Animation,Comedy,Family,Fantasy,,,,,,,,,,,,,,
Biography|Drama|History|Thriller,Biography,Drama,History,Thriller,,,,,,,,,,,,,,,
Action|Adventure|Crime|Drama|Mystery|Thriller,Action,Adventure,Crime,Drama,Mystery,Thriller,,,,,,,,,,,,,
Action|Comedy|Romance,Action,Comedy,Romance,,,,,,,,,,,,,,,,
Crime|Drama|Thriller,Crime,Drama,Thriller,,,,,,,,,,,,,,,,
Action|Adventure|Thriller|War,Action,Adventure,Thriller,War,,,,,,,,,,,,,,,
Drama|Thriller,Drama,Thriller,,,,,,,,,,,,,,,,,
Animation|Family|Fantasy|Musical,Animation,Family,Fantasy,Musical,,,,,,,,,,,,,,,
Adventure|Drama|Western,Adventure,Drama,Western,,,,,,,,,,,,,,,,
Action|Adventure|Fantasy|Sci-Fi|Thriller,Action,Adventure,Fantasy,Sci-Fi,Thriller,,,,,,,,,,,,,,
Drama|Horror|Sci-Fi|Thriller,Drama,Horror,Sci-Fi,Thriller,,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Comedy|Drama,Comedy,Drama,,,,,,,,,,,,,,,,,
Action|Crime|Drama|Thriller,Action,Crime,Drama,Thriller,,,,,,,,,,,,,,,
Comedy|Romance,Comedy,Romance,,,,,,,,,,,,,,,,,
Drama|Mystery|Thriller,Drama,Mystery,Thriller,,,,,,,,,,,,,,,,
Drama|Fantasy|Romance,Drama,Fantasy,Romance,,,,,,,,,,,,,,,,
Action|Crime|Thriller,Action,Crime,Thriller,,,,,,,,,,,,,,,,
Action|Comedy|Crime,Action,Comedy,Crime,,,,,,,,,,,,,,,,
Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,,,,,,,,,,,
Adventure|Animation|Comedy|Drama|Family,Adventure,Animation,Comedy,Drama,Family,,,,,,,,,,,,,,
Comedy|Romance,Comedy,Romance,,,,,,,,,,,,,,,,,
Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,,,,,,,,,,,
Action|Comedy|Crime,Action,Comedy,Crime,,,,,,,,,,,,,,,,
Biography|Drama|History|Romance,Biography,Drama,History,Romance,,,,,,,,,,,,,,,
Action|Comedy|Sport,Action,Comedy,Sport,,,,,,,,,,,,,,,,
Crime|Drama|Mystery|Thriller,Crime,Drama,Mystery,Thriller,,,,,,,,,,,,,,,
Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,,,,,,,,,,,
Drama|Horror|Mystery|Thriller,Drama,Horror,Mystery,Thriller,,,,,,,,,,,,,,,
